area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Super built-up  Area,Ready To Move,2 BHK,DSndsod,1320,2,1,Mundhawa,100
Built-up  Area,Ready To Move,4 Bedroom,,950,3,3,Nagar Road,179
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,Nana Peth,225
Built-up  Area,Ready To Move,4 Bedroom,,3000,3,3,Narayan Peth,170
Built-up  Area,Ready To Move,2 BHK,,1197,2,1,Narayangaon,82
Super built-up  Area,Ready To Move,3 BHK,,1320,2,3,Navi Peth,60
Plot  Area,Ready To Move,5 Bedroom,,1180,5,2,Padmavati,98.5
Super built-up  Area,20-Dec,1 BHK,Oreldhi,840,1,1,Parvati Darshan,57.6
Super built-up  Area,20-Dec,1 BHK,Somns T,540 - 740,1,0,Pashan,19.83
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3,1,Paud Road,71.38
Super built-up  Area,Ready To Move,2 BHK,,1000,2,1,Pirangut,62
Built-up  Area,Ready To Move,2 BHK,AReenui,1305,2,1,Prabhat Road,70
Built-up  Area,Ready To Move,1 BHK,Jae 1ke,450,1,1,Pune Railway Station,18
Super built-up  Area,Ready To Move,1 BHK,Pu270a ,705,1,1,Rasta Peth,57
Super built-up  Area,Ready To Move,4 BHK,,750,6,2,Raviwar Peth,75
Built-up  Area,Ready To Move,5 Bedroom,,4800,5,2,Sadashiv Peth,150
Built-up  Area,Ready To Move,4 Bedroom,,5000,5,,Sahakar Nagar,600
Plot  Area,Ready To Move,4 Bedroom,,5000,4,3,Salunke Vihar,425
Built-up  Area,18-Dec,3 BHK,,1991,3,2,Sasson Road,104
Super built-up  Area,Ready To Move,3 BHK,PaontWa,1779,3,2,Satara Road,90
Plot  Area,Ready To Move,4 Bedroom,Adowslm,10200,4,1,Senapati Bapat Road,1250
Super built-up  Area,Ready To Move,2 BHK,RailsDa,870,2,2,Shaniwar Peth,38
Super built-up  Area,18-May,3 BHK,Bhmesy ,1595,3,2,Shivaji Nagar,120
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,1,1,Shukrawar Peth,26
Plot  Area,Ready To Move,4 Bedroom,,945,5,2,Sinhagad Road,120
Plot  Area,18-Apr,6 Bedroom,,2400,4,2,Somwar Peth,420
Super built-up  Area,18-Dec,3 BHK,DNionfl,2000,4,2,Swargate,138
Super built-up  Area,Ready To Move,3 BHK,NCarkna,1614,3,2,Tilak Road,93
Super built-up  Area,Ready To Move,2 BHK,,1200,2,3,Uruli Devachi,40
Built-up  Area,Ready To Move,3 BHK,Sravehi,1150,3,3,Vadgaon Budruk,46
Super built-up  Area,Ready To Move,4 BHK,,3200,4,,Wadgaon Sheri,440
Super built-up  Area,18-Dec,3 BHK,Skacak ,1610,3,2,Viman Nagar,80.48
Super built-up  Area,Ready To Move,2 BHK,,1190,2,2,Vishrant Wadi,41
Super built-up  Area,Ready To Move,2 BHK,SMncyy ,1050,2,2,Wagholi,50
Plot  Area,Ready To Move,4 Bedroom,Prsisge,4800,5,2,Wakadewadi,420
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1460,2,1,Wanowrie,97
Super built-up  Area,Ready To Move,3 BHK,,3400,3,3,Warje,400
Plot  Area,Ready To Move,1 Bedroom,,600,1,0,Yerawada,33
Built-up  Area,Ready To Move,3 BHK,AritaFe,1569,3,0,Alandi Road,70
Built-up  Area,18-Dec,3 Bedroom,,2600,3,2,Ambegaon Budruk,147
Super built-up  Area,Ready To Move,1 BHK,Shiaa S,645,1,0,Anandnagar,42.5
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,Aundh,180
Plot  Area,Ready To Move,3 Bedroom,,800,3,0,Aundh Road,95
Built-up  Area,Ready To Move,2 Bedroom,,800,2,1,Balaji Nagar,80
Super built-up  Area,Ready To Move,2 BHK,Asintas,1350,2,1,Baner,90
Super built-up  Area,Ready To Move,3 BHK,SNe 2ev,2780,4,1,Baner road,325
Super built-up  Area,18-Mar,3 BHK,,1410,2,2,Bhandarkar Road,45.12
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1109,2,1,Bhavani Peth,35.47
Super built-up  Area,Ready To Move,4 BHK,LeeyaCa,2000,3,2,Bibvewadi,1063
Built-up  Area,Ready To Move,1 BHK,,800,1,0,Bopodi,72
Super built-up  Area,Ready To Move,2 BHK,SNity S,1215,2,1,Budhwar Peth,68
Plot  Area,Ready To Move,8 Bedroom,,1230,6,0,Bund Garden Road,250
Built-up  Area,Ready To Move,3 Bedroom,Prigh L,2273,4,2,Camp,192
Super built-up  Area,18-Aug,2 BHK,,1255,2,2,Chandan Nagar,52.76
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,Dapodi,49
Super built-up  Area,18-Jul,3 BHK,,1225,2,2,Deccan Gymkhana,82
Super built-up  Area,Ready To Move,2 BHK,,1120,2,1,Dehu Road,60
Plot  Area,Ready To Move,5 Bedroom,,2400,5,3,Dhankawadi,625
Super built-up  Area,Ready To Move,3 BHK,Conixt ,1225,2,1,Dhayari Phata,69
Plot  Area,Ready To Move,4 Bedroom,UKe 2nz,5200,5,3,Dhole Patil Road,242
Built-up  Area,Ready To Move,4 BHK,,4000,4,1,Erandwane,700
Super built-up  Area,Ready To Move,3 BHK,Puallhi,1984,4,1,Fatima Nagar,145
Super built-up  Area,Ready To Move,3 BHK,Saciatt,2425,3,1,Fergusson College Road,197
Plot  Area,18-Sep,3 Bedroom,,1200,3,1,Ganesh Peth,56.12
Super built-up  Area,18-Aug,2 BHK,DSoodil,1127,2,1,Ganeshkhind,45
Built-up  Area,18-Jun,3 BHK,,1655,3,2,Ghorpade Peth,97
Super built-up  Area,18-Aug,1 BHK,,500,1,1,Ghorpadi,14
Plot  Area,18-Jul,3 Bedroom,,1200,3,1,Gokhale Nagar,68.38
Super built-up  Area,Ready To Move,2 BHK,P num P,1000,2,2,Gultekdi,43
Super built-up  Area,18-Jul,2 BHK,,1225,2,2,Guruwar peth,47.88
Super built-up  Area,Ready To Move,2 BHK,Hedosme,1350,2,2,Hadapsar,45
Plot  Area,18-Apr,4 Bedroom,,600,5,3,Hadapsar Industrial Estate,95
Super built-up  Area,Ready To Move,2 BHK,Mosom B,1175,2,3,Hingne Khurd,49
Super built-up  Area,Ready To Move,1 BHK,Hoxiaa ,655,1,2,Jangali Maharaj Road,27
Super built-up  Area,19-Mar,3 BHK,Skume R,1311,2,1,Kalyani Nagar,84.86
Plot  Area,Ready To Move,3 Bedroom,,600,4,0,Karve Nagar,90
Carpet  Area,Ready To Move,2 BHK,Mancyes,1000,2,1,Karve Road,38.5
Super built-up  Area,Ready To Move,2 BHK,,1196,2,1,Kasba Peth,96
Built-up  Area,Ready To Move,3 BHK,Wiowsri,1050,2,1,Katraj,59
Super built-up  Area,Ready To Move,3 BHK,,1275,2,2,Khadaki,52
Carpet  Area,Ready To Move,2 BHK,,927,2,1,Khadki,50
Super built-up  Area,Ready To Move,3 BHK,CaestSr,1520,2,3,Kharadi,61
Plot  Area,Ready To Move,4 Bedroom,,2400,5,2,Kondhwa,395
Built-up  Area,Ready To Move,2 BHK,Prersis,1333,2,1,Kondhwa Budruk,104
Super built-up  Area,18-Mar,1 BHK,DSdidSp,600,1,0,Kondhwa Khurd,18
Super built-up  Area,18-Sep,3 BHK,DSestma,1326,2,1,Koregaon Park,34.8
Super built-up  Area,18-Mar,3 BHK,PualeSk,1618 - 1929,,,Kothrud,85.125
Built-up  Area,Ready To Move,2 BHK,KHage G,1370,2,2,Law College Road,125
Super built-up  Area,Ready To Move,2 BHK,KHage G,1100,2,2,Laxmi Road,85
Super built-up  Area,Ready To Move,3 BHK,,1650,3,3,Lulla Nagar,100
Super built-up  Area,18-May,3 BHK,,1917,3,2,Mahatma Gandhi Road,132
Carpet  Area,Ready To Move,3 BHK,,780,3,,Mangalwar peth,75
Super built-up  Area,Ready To Move,2 BHK,Raony C,950,2,1,Manik Bagh,58.11
Super built-up  Area,Ready To Move,2 BHK,,1175,2,1,Market yard,48.72
Super built-up  Area,Ready To Move,2 BHK,,1089,2,1,Model colony,43.55
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3,2,Mukund Nagar,175
Super built-up  Area,Ready To Move,2 BHK,Keers S,1257,2,1,Mundhawa,68.5
Super built-up  Area,Ready To Move,1 BHK,SNityVe,650,1,2,Nagar Road,19.87
Super built-up  Area,Ready To Move,3 BHK,BrlisCo,1850,3,2,Nana Peth,150
Built-up  Area,Ready To Move,4 Bedroom,,2800,4,1,Narayan Peth,200
Built-up  Area,Ready To Move,2 BHK,,945,2,,Narayangaon,40
Super built-up  Area,22-Dec,2 BHK,,1161,2,1,Navi Peth,63.85
Super built-up  Area,17-Apr,3 BHK,Naiewre,1630,3,2,Padmavati,51.35
Super built-up  Area,Ready To Move,3 BHK,DSons S,1310,2,2,Parvati Darshan,60
Super built-up  Area,Ready To Move,2 BHK,,750,2,1,Pashan,28
Plot  Area,18-Sep,3 Bedroom,,1200,3,1,Paud Road,67.77
Super built-up  Area,Ready To Move,2 BHK,Riave E,1000,2,1,Pirangut,45
Plot  Area,Ready To Move,4 Bedroom,,4000,4,2,Prabhat Road,225
Built-up  Area,Ready To Move,2 BHK,,1315,2,2,Pune Railway Station,70
Super built-up  Area,Ready To Move,3 BHK,NCensun,1370,2,2,Rasta Peth,90
Plot  Area,Ready To Move,5 Bedroom,,1200,4,3,Raviwar Peth,150
Built-up  Area,Ready To Move,2 BHK,Ocavees,1465,3,3,Sadashiv Peth,90
Plot  Area,Ready To Move,3 BHK,,20000,3,,Sahakar Nagar,175
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,Salunke Vihar,64
Super built-up  Area,Ready To Move,3 BHK,Silusti,1250,2,2,Sasson Road,70
Super built-up  Area,19-Jun,3 BHK,Raard B,1645,3,2,Satara Road,117
Super built-up  Area,Ready To Move,3 BHK,,1284,2,2,Senapati Bapat Road,75
Super built-up  Area,18-Mar,3 BHK,SNontle,2600,3,2,Shaniwar Peth,199
Super built-up  Area,19-Jun,3 BHK,,1820,3,2,Shivaji Nagar,150
Super built-up  Area,Ready To Move,3 BHK,,1580,3,1,Shukrawar Peth,73
Built-up  Area,Ready To Move,3 Bedroom,,2650,3,2,Sinhagad Road,125
Super built-up  Area,Ready To Move,2 BHK,SNity S,1215,2,1,Somwar Peth,68
Super built-up  Area,Ready To Move,2 BHK,,1075,2,1,Swargate,40
Super built-up  Area,Ready To Move,3 BHK,JaniaGa,1400,2,3,Tilak Road,78
Super built-up  Area,Ready To Move,3 BHK,,1400,2,1,Uruli Devachi,55
Built-up  Area,Ready To Move,2 BHK,Prityel,845,2,1,Vadgaon Budruk,30
Super built-up  Area,Ready To Move,4 BHK,,2600,4,3,Wadgaon Sheri,40
Built-up  Area,Ready To Move,4 Bedroom,Prldsum,3508 - 4201,6,0,Viman Nagar,385.5
Super built-up  Area,Ready To Move,2 BHK,,800,2,1,Vishrant Wadi,85
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1199,2,1,Wagholi,85
Super built-up  Area,Ready To Move,2 BHK,Akncyes,1175,2,2,Wakadewadi,43.48
Plot  Area,Ready To Move,3 Bedroom,,2400,3,,Wanowrie,270
Super built-up  Area,Ready To Move,3 BHK,OriewLa,1767,3,2,Warje,109
Super built-up  Area,Ready To Move,4 BHK,Asncywo,1800,3,1,Yerawada,90
Super built-up  Area,18-Aug,3 BHK,Sodgere,1856,3,2,Alandi Road,135
Plot  Area,Ready To Move,3 Bedroom,,1200,3,,Ambegaon Budruk,140
Super built-up  Area,18-Jun,3 BHK,Puwerun,1613,3,0,Anandnagar,150
Super built-up  Area,Ready To Move,4 BHK,Cruran ,6830,5,,Aundh,795
Built-up  Area,Ready To Move,2 BHK,,1290,2,0,Aundh Road,90
Super built-up  Area,Ready To Move,2 BHK,HMonymp,1375,2,1,Balaji Nagar,78
Super built-up  Area,Ready To Move,2 BHK,Haows M,985,2,2,Baner,57
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,Baner road,200
Super built-up  Area,Ready To Move,2 BHK,,1099,2,1,Bhandarkar Road,37.5
Super built-up  Area,18-Mar,1 BHK,Sidin J,605,1,0,Bhavani Peth,13.31
Super built-up  Area,Ready To Move,11 BHK,,6000,12,,Bibvewadi,150
Built-up  Area,Ready To Move,7 Bedroom,,3600,7,3,Bopodi,160
Super built-up  Area,Ready To Move,2 BHK,Srers T,1200,2,1,Budhwar Peth,53
Built-up  Area,Ready To Move,2 BHK,Chtali ,1000,2,1,Bund Garden Road,45
Super built-up  Area,Ready To Move,3 BHK,Itvir M,1159,2,3,Camp,38
Super built-up  Area,Ready To Move,5 BHK,Adeatlm,3692,5,,Chandan Nagar,340
Plot  Area,Ready To Move,2 Bedroom,,600,2,1,Dapodi,80
Plot  Area,Ready To Move,4 Bedroom,,2400,4,3,Deccan Gymkhana,600
Built-up  Area,Ready To Move,3 BHK,Myace P,1540,2,2,Dehu Road,78
Built-up  Area,Ready To Move,3 BHK,,1503,2,2,Dhankawadi,93
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1850,4,2,Dhayari Phata,120
Built-up  Area,Ready To Move,3 BHK,Sungspr,1580,3,1,Dhole Patil Road,60
Super built-up  Area,Ready To Move,2 BHK,Amsomun,1190,2,2,Erandwane,39.25
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Fatima Nagar,61
Plot  Area,Ready To Move,7 Bedroom,,1000,7,3,Fergusson College Road,250
Super built-up  Area,18-Nov,2 BHK,,850,1,1,Ganesh Peth,19.9
Super built-up  Area,Ready To Move,3 BHK,,2180,3,2,Ganeshkhind,285
Super built-up  Area,Ready To Move,3 BHK,,2500,2,1,Ghorpade Peth,60
Plot  Area,18-Dec,3 Bedroom,,1200,3,1,Ghorpadi,56.12
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,Gokhale Nagar,52
Plot  Area,Ready To Move,5 Bedroom,,1200,3,2,Gultekdi,180
Super built-up  Area,Ready To Move,3 BHK,R ra  R,1880,3,3,Guruwar peth,120
Super built-up  Area,Ready To Move,2 BHK,Saalpas,1150,2,2,Hadapsar,45
Plot  Area,18-May,4 Bedroom,,4408,4,2,Hadapsar Industrial Estate,344
Super built-up  Area,Ready To Move,2 BHK,,924,2,2,Hingne Khurd,35.11
Super built-up  Area,Ready To Move,5 BHK,Maana E,7800,6,,Jangali Maharaj Road,385
Plot  Area,Ready To Move,6 Bedroom,,600,6,3,Kalyani Nagar,100
Plot  Area,18-Feb,4 Bedroom,,750,4,1,Karve Nagar,95
Built-up  Area,Ready To Move,3 Bedroom,CoinoCu,1962,3,2,Karve Road,175
Plot  Area,Ready To Move,5 Bedroom,,1200,4,3,Kasba Peth,240
Super built-up  Area,18-Nov,3 BHK,,1765,3,2,Katraj,77.27
Super built-up  Area,Ready To Move,2 BHK,DSvar S,1174,2,1,Khadaki,29.35
Super built-up  Area,19-Jun,3 BHK,Saenett,1894,3,1,Khadki,115
Plot  Area,Ready To Move,4 Bedroom,,960,2,2,Kharadi,138
Super built-up  Area,Ready To Move,3 BHK,Saitya ,1760,3,2,Kondhwa,142
Built-up  Area,Ready To Move,3 BHK,,1768,3,3,Kondhwa Budruk,95
Built-up  Area,Ready To Move,3 BHK,Somumys,1790,3,0,Kondhwa Khurd,97
Plot  Area,17-Jul,4 Bedroom,,3500,5,1,Koregaon Park,800
Plot  Area,18-Dec,2 Bedroom,,1200,2,1,Kothrud,45
Built-up  Area,Ready To Move,4 Bedroom,Unuil T,2540,4,0,Law College Road,160
Super built-up  Area,Ready To Move,2 BHK,Neisei ,1137,2,1,Laxmi Road,53.4
Super built-up  Area,22-May,4 BHK,SoineC ,2249.81 - 4112.19,,,Lulla Nagar,229
Plot  Area,Ready To Move,7 Bedroom,,1200,6,,Mahatma Gandhi Road,115
Super built-up  Area,Ready To Move,3 BHK,SaodySa,1568,2,2,Mangalwar peth,100
Built-up  Area,Ready To Move,4 Bedroom,Pardst ,4900 - 4940,4,0,Manik Bagh,393.5
Super built-up  Area,Ready To Move,2 BHK,Concyvi,1308,2,1,Market yard,60
Super built-up  Area,19-Aug,4 BHK,,3060,4,2,Model colony,350
Super built-up  Area,Ready To Move,3 BHK,Prityel,1200,2,1,Mukund Nagar,41
Super built-up  Area,Ready To Move,1 BHK,,800,1,2,Mundhawa,32
Super built-up  Area,19-Dec,1 BHK,Shntie ,530,1,1,Nagar Road,13.5
Built-up  Area,Ready To Move,3 BHK,Prityel,873,2,1,Nana Peth,40
Plot  Area,Ready To Move,7 Bedroom,,3000,6,3,Narayan Peth,145
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,Narayangaon,235
Super built-up  Area,Ready To Move,2 BHK,,958,2,1,Navi Peth,33.53
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Padmavati,160
Super built-up  Area,21-Dec,3 BHK,Sodgere,2273,3,3,Parvati Darshan,159
Plot  Area,18-May,3 Bedroom,,600,3,2,Pashan,90
Super built-up  Area,Ready To Move,1 BHK,Bhmesy ,760,1,2,Paud Road,50
Super built-up  Area,Ready To Move,2 BHK,,1090,2,2,Pirangut,43.5
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Prabhat Road,155
Super built-up  Area,Ready To Move,3 BHK,,2666,3,1,Pune Railway Station,230
Super built-up  Area,Ready To Move,3 BHK,KPiteEl,1550,2,1,Rasta Peth,89
Super built-up  Area,18-Aug,2 BHK,ViistLa,1251,2,1,Raviwar Peth,50
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,Sadashiv Peth,53
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,Sahakar Nagar,45
Built-up  Area,Ready To Move,3 BHK,Srshq T,1435,2,2,Salunke Vihar,60
Built-up  Area,Ready To Move,3 BHK,Niara S,1400,2,3,Sasson Road,45
Super built-up  Area,Ready To Move,4 BHK,MNnia E,2330,3,2,Satara Road,94.71
Super built-up  Area,Ready To Move,2 BHK,Inulat ,1200,2,3,Senapati Bapat Road,60
Super built-up  Area,Ready To Move,2 BHK,,1000,2,2,Shaniwar Peth,40
Super built-up  Area,18-Sep,3 BHK,DSnjh S,1655,2,2,Shivaji Nagar,62.89
Built-up  Area,Ready To Move,9 Bedroom,,3600,9,3,Shukrawar Peth,240
Plot  Area,Ready To Move,1 Bedroom,,600,1,1,Sinhagad Road,35
Super built-up  Area,Ready To Move,2 BHK,Avine A,1175,2,1,Somwar Peth,50
Super built-up  Area,Ready To Move,2 BHK,SLnssPr,1155,2,2,Swargate,40.43
Plot  Area,Ready To Move,3 Bedroom,Anensva,1200,3,2,Tilak Road,98
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1149,2,2,Uruli Devachi,65
Super built-up  Area,Ready To Move,3 BHK,BrdgeNo,1610 - 1880,,,Vadgaon Budruk,98.485
Plot  Area,Ready To Move,4 Bedroom,LGlarAs,3200,4,2,Wadgaon Sheri,375
Super built-up  Area,Ready To Move,2 BHK,,1010,2,2,Viman Nagar,55
Super built-up  Area,Ready To Move,3 BHK,Soiniy ,1718,3,2,Vishrant Wadi,119
Super built-up  Area,Ready To Move,2 BHK,,650,1,1,Wagholi,20
Super built-up  Area,Ready To Move,2 BHK,Bregae ,1330,2,2,Wakadewadi,77
Super built-up  Area,Ready To Move,2 BHK,Srarkha,1200,2,2,Wanowrie,68
Super built-up  Area,21-Dec,3 BHK,Hiatei ,1693,3,2,Warje,89
Super built-up  Area,19-Dec,2 BHK,Prood P,1249,2,1,Yerawada,165
Built-up  Area,Ready To Move,3 BHK,G conTh,1800,4,1,Alandi Road,125
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,Ambegaon Budruk,55
Super built-up  Area,Ready To Move,2 BHK,BSian M,1020,2,1,Anandnagar,46
Super built-up  Area,Ready To Move,3 BHK,,1700,3,2,Aundh,77
Built-up  Area,18-Jun,1 BHK,,661,1,1,Aundh Road,40
Super built-up  Area,17-Sep,2 BHK,GRarken,1280,2,2,Balaji Nagar,60.16
Plot  Area,Ready To Move,5 Bedroom,,1000,4,2,Baner,90
Super built-up  Area,Ready To Move,2 BHK,,1170,2,1,Baner road,48
Super built-up  Area,Ready To Move,1 BHK,Bhmesy ,933,2,1,Bhandarkar Road,58
Built-up  Area,Ready To Move,2 BHK,Shthi S,1150,2,0,Bhavani Peth,44
Super built-up  Area,Ready To Move,4 BHK,Saentva,3633,6,2,Bibvewadi,550
Super built-up  Area,Ready To Move,3 BHK,Tiitela,1380,3,3,Bopodi,130
Built-up  Area,Ready To Move,2 Bedroom,,1050,2,1,Budhwar Peth,64.8
Super built-up  Area,Ready To Move,2 BHK,,1080,2,1,Bund Garden Road,37.8
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1303,2,1,Camp,90
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1196,2,2,Chandan Nagar,40.54
Built-up  Area,Ready To Move,5 Bedroom,,2500,3,2,Dapodi,180
Plot  Area,Ready To Move,5 Bedroom,,1200,4,1,Deccan Gymkhana,95
Super built-up  Area,18-May,3 BHK,,1250,3,2,Dehu Road,41
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1419,2,3,Dhankawadi,87
Super built-up  Area,Ready To Move,2 BHK,Vimesar,1200,2,3,Dhayari Phata,49
Built-up  Area,Ready To Move,2 BHK,,1120,2,2,Dhole Patil Road,65
Super built-up  Area,Ready To Move,1 BHK,Shitt S,755 - 770,1,0,Erandwane,45.4
Super built-up  Area,Ready To Move,2 BHK,SNdri N,1245,2,1,Fatima Nagar,75
Built-up  Area,Ready To Move,4 Bedroom,RMaanSa,3978,4,3,Fergusson College Road,428
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,1093,2,1,Ganesh Peth,34
Super built-up  Area,18-Jul,2 BHK,,1025,1,1,Ganeshkhind,26.63
Super built-up  Area,Ready To Move,2 BHK,Prersis,1345,2,1,Ghorpade Peth,97
Plot  Area,Ready To Move,2 Bedroom,,1500,2,1,Ghorpadi,45
Super built-up  Area,21-Jun,2 BHK,Saityat,1180,2,1,Gokhale Nagar,86
Super built-up  Area,Ready To Move,2 BHK,BSian M,1020,2,1,Gultekdi,48.45
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,Guruwar peth,85
Super built-up  Area,18-Aug,4 BHK,Prasa W,3621,4,1,Hadapsar,511
Super built-up  Area,Ready To Move,3 BHK,,2008,3,2,Hadapsar Industrial Estate,170
Super built-up  Area,18-Jun,3 BHK,,1240,2,2,Hingne Khurd,39.85
Super built-up  Area,Ready To Move,2 BHK,JKmesHo,1020,2,1,Jangali Maharaj Road,55
Super built-up  Area,Ready To Move,3 BHK,BrriaLu,2095,3,2,Kalyani Nagar,142
Super built-up  Area,Ready To Move,3 BHK,DSerste,1362,3,2,Karve Nagar,62.63
Super built-up  Area,Ready To Move,1 BHK,Neite T,694,1,0,Karve Road,30.84
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,2,Kasba Peth,70
Super built-up  Area,Ready To Move,3 BHK,,1192,2,3,Katraj,47
Plot  Area,Ready To Move,8 Bedroom,,1850,12,,Khadaki,300
Plot  Area,Ready To Move,4 Bedroom,,1050,1,0,Khadki,35
Super built-up  Area,Ready To Move,2 BHK,,1259,2,1,Kharadi,67.48
Super built-up  Area,Ready To Move,2 BHK,,1000,2,2,Kondhwa,34
Super built-up  Area,20-Dec,2 BHK,AsNowre,985,2,1,Kondhwa Budruk,49.97
Built-up  Area,Ready To Move,1 BHK,GoilsDa,850,1,2,Kondhwa Khurd,60
Built-up  Area,Ready To Move,3 BHK,,1650,2,1,Koregaon Park,50
Plot  Area,Ready To Move,5 Bedroom,,2400,3,1,Kothrud,320
Super built-up  Area,Ready To Move,3 BHK,,1900,4,1,Law College Road,180
Super built-up  Area,Ready To Move,2 BHK,SoechHa,1367,2,2,Laxmi Road,86
Super built-up  Area,Ready To Move,3 BHK,Raesta ,1210,2,2,Lulla Nagar,81
Super built-up  Area,Ready To Move,2 BHK,,1190,2,1,Mahatma Gandhi Road,48.6
Super built-up  Area,Ready To Move,2 BHK,,1175,2,2,Mangalwar peth,42
Super built-up  Area,Ready To Move,4 BHK,,2800,4,,Manik Bagh,400
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1140,2,2,Market yard,40
Super built-up  Area,Ready To Move,2 BHK,VRowsa ,1095,2,2,Model colony,33.6
Super built-up  Area,Ready To Move,1 BHK,DSvar S,782,1,0,Mukund Nagar,19.55
Super built-up  Area,Ready To Move,3 BHK,MauilTr,1435,2,2,Mundhawa,80
Super built-up  Area,Ready To Move,2 BHK,Maidsr ,725,2,2,Nagar Road,36
Built-up  Area,Ready To Move,3 BHK,Sutesga,1600,2,2,Nana Peth,88
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,Narayan Peth,160
Super built-up  Area,Ready To Move,4 BHK,Taonte ,3205,4,2,Narayangaon,300
Plot  Area,Ready To Move,4 Bedroom,,720,3,1,Navi Peth,95
Super built-up  Area,Ready To Move,3 BHK,Veyalin,1674,3,,Padmavati,90
Plot  Area,Ready To Move,4 Bedroom,,860,4,2,Parvati Darshan,125
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2,2,Pashan,46
Super built-up  Area,19-Jul,3 BHK,Soazak ,1703,3,2,Paud Road,130
Super built-up  Area,18-May,3 BHK,,1350,3,1,Pirangut,71.55
Super built-up  Area,Ready To Move,2 BHK,Suise S,1145,2,1,Prabhat Road,41.21
Super built-up  Area,18-Apr,2 BHK,Prtates,1216,2,1,Pune Railway Station,75
Super built-up  Area,Ready To Move,2 BHK,Panorse,1100,3,1,Rasta Peth,60
Super built-up  Area,Ready To Move,4 BHK,Puallhi,2425,5,1,Raviwar Peth,201
Plot  Area,Ready To Move,4 Bedroom,,2700,4,2,Sadashiv Peth,175
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1196,2,2,Sahakar Nagar,40.54
Carpet  Area,Ready To Move,3 BHK,PuandHi,1600,3,3,Salunke Vihar,90
Super built-up  Area,17-Oct,3 BHK,Naiewre,1510,3,3,Sasson Road,47.57
Super built-up  Area,Ready To Move,4 BHK,Taonte ,3033,4,1,Satara Road,326
Plot  Area,Ready To Move,2 Bedroom,,780,2,1,Senapati Bapat Road,72
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,Shaniwar Peth,47
Built-up  Area,Ready To Move,2 BHK,,1250,2,2,Shivaji Nagar,110
Plot  Area,Ready To Move,5 Bedroom,Owlotou,1480,4,1,Shukrawar Peth,169
Plot  Area,Ready To Move,4 Bedroom,,1250,4,1,Sinhagad Road,100
Plot  Area,Ready To Move,4 Bedroom,,1350,4,2,Somwar Peth,160
Built-up  Area,Ready To Move,1 Bedroom,,620,2,0,Swargate,48
Super built-up  Area,Ready To Move,3 BHK,i1rtsCo,1630,3,2,Tilak Road,60.65
Built-up  Area,Ready To Move,2 BHK,,1020,2,0,Uruli Devachi,45
Super built-up  Area,18-Aug,3 BHK,Maunt M,1410,2,2,Vadgaon Budruk,53.58
Carpet  Area,18-Dec,2 BHK,Rosha I,1181.7,2,1,Wadgaon Sheri,100
Plot  Area,Ready To Move,9 Bedroom,,1200,8,3,Viman Nagar,270
Super built-up  Area,Ready To Move,3 BHK,Klark L,1691,3,2,Vishrant Wadi,113
Built-up  Area,Ready To Move,4 Bedroom,,1200,4,0,Wagholi,83
Super built-up  Area,Ready To Move,2 BHK,,1200,2,3,Wakadewadi,60
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,Wanowrie,50
Super built-up  Area,Ready To Move,3 BHK,Prone M,1300,3,2,Warje,77.99
Super built-up  Area,21-Dec,2 BHK,Preaunt,1356,2,1,Yerawada,94.84
Super built-up  Area,20-Dec,2 BHK,Goted U,1338,2,1,Alandi Road,103
